method,n_success,bias,rmse,coverage,mean_se,mean_ess,scenario_id,scenario_name,n_trial,target_smd,n_covariates
NAIVE,5,-0.0035398518323670747,0.11640810768733563,0.8,0.09601492654633695,,1,"Balanced, Small Sample",100,0.1,3
NAIVE,5,0.022117883786638787,0.031980378479560014,1.0,0.04271404109320236,,2,"Balanced, Large Sample",500,0.1,3
NAIVE,5,-0.014666137549748798,0.12149584564211666,0.8,0.09697207634966745,,3,"Moderate Imbalance, Small Sample",100,0.35,3
NAIVE,5,0.021013538471894938,0.05686092998774246,1.0,0.05554898506992678,,4,"Moderate Imbalance, Medium Sample",300,0.35,5
NAIVE,5,-0.005769202466384071,0.0226231876445762,1.0,0.04295996494620624,,5,"Moderate Imbalance, Large Sample",500,0.35,5
NAIVE,5,-0.00752898240181199,0.13958168457365622,0.8,0.09714849265428649,,6,"Severe Imbalance, Small Sample",100,0.55,3
NAIVE,5,0.010245870350482772,0.05733739825338032,1.0,0.055699887988145035,,7,"Severe Imbalance, Medium Sample",300,0.55,5
NAIVE,5,0.012550320480023025,0.04228976855139244,1.0,0.04324902787761525,,8,"Severe Imbalance, Large Sample",500,0.55,5
NAIVE,5,0.0051099944846440815,0.058084445070214374,1.0,0.056030365814626795,,9,"Very Severe Imbalance, Medium Sample",300,0.75,5
NAIVE,5,0.007679453477789394,0.054369327148353554,0.8,0.0434833976288489,,10,"Very Severe Imbalance, Large Sample",500,0.75,5
NAIVE,5,0.07214017651389834,0.10852116031978135,1.0,0.09659617397779927,,11,"High-Dimensional, Small Sample",100,0.35,8
NAIVE,5,-0.019915099652178775,0.08039564836437321,0.8,0.056740282863762516,,12,"High-Dimensional, Medium Sample",300,0.35,8
NAIVE,5,-0.03869635810230529,0.059197389589821126,1.0,0.043427379418677504,,13,"High-Dimensional, Large Sample",500,0.35,8
NAIVE,5,0.024020080996979942,0.04440078776027906,1.0,0.05553193553608928,,14,"Effect Heterogeneity, Moderate Imbalance",300,0.35,5
NAIVE,5,0.041435556772997456,0.05867560177801079,1.0,0.05577172142773311,,15,"Effect Heterogeneity, Severe Imbalance",300,0.55,5
NAIVE,5,0.7226308388454923,0.9202939781800654,1.0,1.1702044915956442,,16,"Continuous Outcome, Moderate Imbalance",300,0.35,5
NAIVE,5,0.722630838845495,0.9202939781800697,1.0,1.1702044915956447,,17,"Continuous Outcome, Severe Imbalance",300,0.55,5
NAIVE,5,-0.005979372930592447,0.08182836948219294,1.0,0.10869213605770969,,18,Extreme: Tiny Sample + High Dimensional,80,0.35,10
NAIVE,5,-0.008109290467107205,0.030913525637272753,1.0,0.03453087190475749,,19,Extreme: Very Large Sample + Very Severe Imbalance,800,0.85,5
NAIVE,5,-0.006299886392694548,0.0627971124944796,0.8,0.05226578344925943,,20,Realistic HTA Scenario,350,0.48,6
